Draw_Date,Number_1,Number_2,Number_3,Number_4,Number_5,Mega_Ball,Multiplier,Original_Combination
08/27/2021,1,10,44,47,56,23,3.0,01 10 44 47 56 MB:23
08/24/2021,17,18,26,52,67,19,2.0,17 18 26 52 67 MB:19
08/20/2021,41,43,51,57,70,1,2.0,41 43 51 57 70 MB:1
08/17/2021,3,6,16,38,56,24,3.0,03 06 16 38 56 MB:24
08/13/2021,17,21,35,40,53,11,2.0,17 21 35 40 53 MB:11
08/10/2021,29,45,50,59,62,12,2.0,29 45 50 59 62 MB:12
08/06/2021,9,18,40,46,69,9,2.0,09 18 40 46 69 MB:9
08/03/2021,1,9,17,27,34,24,2.0,01 09 17 27 34 MB:24
07/30/2021,19,26,31,52,68,10,3.0,19 26 31 52 68 MB:10
07/27/2021,2,35,36,54,64,11,3.0,02 35 36 54 64 MB:11
07/23/2021,13,17,19,40,69,17,3.0,13 17 19 40 69 MB:17
07/20/2021,10,26,30,52,57,10,2.0,10 26 30 52 57 MB:10
07/16/2021,24,25,47,52,57,24,4.0,24 25 47 52 57 MB:24
07/13/2021,3,10,17,26,55,24,2.0,03 10 17 26 55 MB:24
07/09/2021,6,37,39,41,46,17,2.0,06 37 39 41 46 MB:17
07/06/2021,18,47,63,68,69,14,3.0,18 47 63 68 69 MB:14
07/02/2021,8,31,32,34,45,19,2.0,08 31 32 34 45 MB:19
06/29/2021,7,38,50,52,69,21,3.0,07 38 50 52 69 MB:21
06/25/2021,17,20,42,45,65,12,4.0,17 20 42 45 65 MB:12
06/22/2021,1,26,48,51,59,25,4.0,01 26 48 51 59 MB:25
06/18/2021,14,36,44,46,53,18,2.0,14 36 44 46 53 MB:18
06/15/2021,18,22,27,38,52,11,4.0,18 22 27 38 52 MB:11
06/11/2021,4,43,56,63,68,13,4.0,04 43 56 63 68 MB:13
06/08/2021,9,22,39,41,54,19,3.0,09 22 39 41 54 MB:19
06/04/2021,4,30,34,41,64,8,3.0,04 30 34 41 64 MB:8
06/01/2021,7,11,33,58,63,23,2.0,07 11 33 58 63 MB:23
05/28/2021,10,14,20,47,70,15,2.0,10 14 20 47 70 MB:15
05/25/2021,14,21,31,34,54,11,3.0,14 21 31 34 54 MB:11
05/21/2021,6,9,17,18,48,8,3.0,06 09 17 18 48 MB:8
05/18/2021,3,5,56,61,66,4,2.0,03 05 56 61 66 MB:4
05/14/2021,3,18,41,44,68,3,2.0,03 18 41 44 68 MB:3
05/11/2021,7,8,20,36,39,22,3.0,07 08 20 36 39 MB:22
05/07/2021,5,10,19,21,50,10,4.0,05 10 19 21 50 MB:10
05/04/2021,4,27,32,57,63,22,3.0,04 27 32 57 63 MB:22
04/30/2021,8,19,26,48,49,5,3.0,08 19 26 48 49 MB:5
04/27/2021,15,22,30,41,42,25,4.0,15 22 30 41 42 MB:25
04/23/2021,4,28,29,30,60,25,3.0,04 28 29 30 60 MB:25
04/20/2021,6,23,43,49,52,5,3.0,06 23 43 49 52 MB:5
04/16/2021,17,27,28,50,55,25,4.0,17 27 28 50 55 MB:25
04/13/2021,10,15,19,45,68,9,4.0,10 15 19 45 68 MB:9
04/09/2021,22,26,27,58,66,12,2.0,22 26 27 58 66 MB:12
04/06/2021,1,19,20,32,42,17,3.0,01 19 20 32 42 MB:17
04/02/2021,10,42,48,53,62,19,2.0,10 42 48 53 62 MB:19
03/30/2021,11,37,47,53,56,15,3.0,11 37 47 53 56 MB:15
03/26/2021,4,25,37,46,67,15,3.0,04 25 37 46 67 MB:15
03/23/2021,12,23,35,38,55,11,2.0,12 23 35 38 55 MB:11
03/19/2021,9,14,40,58,69,8,3.0,09 14 40 58 69 MB:8
03/16/2021,10,41,46,52,69,8,2.0,10 41 46 52 69 MB:8
03/12/2021,2,24,25,31,65,18,4.0,02 24 25 31 65 MB:18
03/09/2021,4,33,46,58,65,13,2.0,04 33 46 58 65 MB:13
03/05/2021,10,11,17,27,54,20,2.0,10 11 17 27 54 MB:20
03/02/2021,4,8,13,34,64,18,2.0,04 08 13 34 64 MB:18
02/26/2021,11,15,37,62,64,5,2.0,11 15 37 62 64 MB:5
02/23/2021,5,7,9,20,57,15,3.0,05 07 09 20 57 MB:15
02/19/2021,27,32,47,50,53,4,4.0,27 32 47 50 53 MB:4
02/16/2021,1,36,44,54,66,10,3.0,01 36 44 54 66 MB:10
02/12/2021,5,14,24,25,27,14,3.0,05 14 24 25 27 MB:14
02/09/2021,7,18,21,31,40,9,4.0,07 18 21 31 40 MB:9
02/05/2021,14,17,28,29,44,2,4.0,14 17 28 29 44 MB:2
02/02/2021,13,37,38,40,67,10,2.0,13 37 38 40 67 MB:10
01/29/2021,4,44,58,59,70,3,3.0,04 44 58 59 70 MB:3
01/26/2021,29,49,56,66,67,24,3.0,29 49 56 66 67 MB:24
01/22/2021,4,26,42,50,60,24,2.0,04 26 42 50 60 MB:24
01/19/2021,10,19,26,28,50,16,2.0,10 19 26 28 50 MB:16
01/15/2021,3,11,12,38,43,15,4.0,03 11 12 38 43 MB:15
01/12/2021,12,14,26,28,33,9,2.0,12 14 26 28 33 MB:9
01/08/2021,3,6,16,18,58,11,2.0,03 06 16 18 58 MB:11
01/05/2021,20,43,51,55,57,4,2.0,20 43 51 55 57 MB:4
01/01/2021,8,24,53,68,69,7,5.0,08 24 53 68 69 MB:7
12/29/2020,1,31,35,48,62,19,3.0,01 31 35 48 62 MB:19
12/25/2020,17,23,36,69,70,19,2.0,17 23 36 69 70 MB:19
12/22/2020,29,53,56,59,67,21,2.0,29 53 56 59 67 MB:21
12/18/2020,7,15,25,51,60,5,3.0,07 15 25 51 60 MB:5
12/15/2020,1,10,18,20,46,15,2.0,01 10 18 20 46 MB:15
12/11/2020,19,31,37,55,67,25,4.0,19 31 37 55 67 MB:25
12/08/2020,15,19,33,39,68,25,3.0,15 19 33 39 68 MB:25
12/04/2020,3,19,24,44,50,8,3.0,03 19 24 44 50 MB:8
12/01/2020,7,33,53,61,65,14,2.0,07 33 53 61 65 MB:14
11/27/2020,4,10,27,35,58,10,2.0,04 10 27 35 58 MB:10
11/24/2020,9,15,34,61,64,6,2.0,09 15 34 61 64 MB:6
11/20/2020,26,33,45,61,68,17,3.0,26 33 45 61 68 MB:17
11/17/2020,8,13,35,46,68,16,3.0,08 13 35 46 68 MB:16
11/13/2020,6,7,14,28,59,7,2.0,06 07 14 28 59 MB:7
11/10/2020,23,45,53,58,62,13,5.0,23 45 53 58 62 MB:13
11/06/2020,18,24,27,34,60,2,2.0,18 24 27 34 60 MB:2
11/03/2020,7,31,44,45,55,19,3.0,07 31 44 45 55 MB:19
10/30/2020,14,19,34,39,59,11,2.0,14 19 34 39 59 MB:11
10/27/2020,6,13,34,46,62,1,3.0,06 13 34 46 62 MB:1
10/23/2020,18,34,44,60,69,22,2.0,18 34 44 60 69 MB:22
10/20/2020,46,54,57,58,66,10,3.0,46 54 57 58 66 MB:10
10/16/2020,27,32,50,52,57,12,5.0,27 32 50 52 57 MB:12
10/13/2020,11,44,45,46,70,25,2.0,11 44 45 46 70 MB:25
10/09/2020,5,11,25,27,64,13,2.0,05 11 25 27 64 MB:13
10/06/2020,15,16,18,39,59,17,3.0,15 16 18 39 59 MB:17
10/02/2020,9,38,47,49,68,25,2.0,09 38 47 49 68 MB:25
09/29/2020,14,39,43,44,67,19,3.0,14 39 43 44 67 MB:19
09/25/2020,20,36,37,48,67,16,2.0,20 36 37 48 67 MB:16
09/22/2020,36,43,44,55,68,12,4.0,36 43 44 55 68 MB:12
09/18/2020,26,29,41,52,64,11,3.0,26 29 41 52 64 MB:11
09/15/2020,25,28,38,59,62,22,4.0,25 28 38 59 62 MB:22
09/11/2020,3,15,42,48,56,13,2.0,03 15 42 48 56 MB:13
09/08/2020,7,10,15,31,57,21,2.0,07 10 15 31 57 MB:21
09/04/2020,19,22,24,28,53,25,3.0,19 22 24 28 53 MB:25
09/01/2020,15,25,26,38,47,22,4.0,15 25 26 38 47 MB:22
08/28/2020,3,9,50,53,64,1,3.0,03 09 50 53 64 MB:1
08/25/2020,8,10,15,17,57,12,3.0,08 10 15 17 57 MB:12
08/21/2020,11,15,31,42,63,14,2.0,11 15 31 42 63 MB:14
08/18/2020,4,18,26,27,58,23,4.0,04 18 26 27 58 MB:23
08/14/2020,3,24,29,42,47,13,2.0,03 24 29 42 47 MB:13
08/11/2020,8,22,29,43,56,9,4.0,08 22 29 43 56 MB:9
08/07/2020,4,44,53,64,70,3,2.0,04 44 53 64 70 MB:3
08/04/2020,2,22,30,42,62,20,3.0,02 22 30 42 62 MB:20
07/31/2020,12,35,46,48,69,23,2.0,12 35 46 48 69 MB:23
07/28/2020,17,20,27,31,34,19,4.0,17 20 27 31 34 MB:19
07/24/2020,8,33,39,54,58,17,3.0,08 33 39 54 58 MB:17
07/21/2020,14,25,26,41,43,15,3.0,14 25 26 41 43 MB:15
07/17/2020,12,13,21,46,57,21,3.0,12 13 21 46 57 MB:21
07/14/2020,6,26,55,56,64,22,4.0,06 26 55 56 64 MB:22
07/10/2020,10,15,20,49,53,22,5.0,10 15 20 49 53 MB:22
07/07/2020,16,20,25,30,43,18,3.0,16 20 25 30 43 MB:18
07/03/2020,20,40,44,45,50,24,2.0,20 40 44 45 50 MB:24
06/30/2020,9,16,29,37,53,11,2.0,09 16 29 37 53 MB:11
06/26/2020,19,33,37,56,57,6,2.0,19 33 37 56 57 MB:6
06/23/2020,6,20,37,40,48,15,3.0,06 20 37 40 48 MB:15
06/19/2020,11,34,36,52,66,7,2.0,11 34 36 52 66 MB:7
06/16/2020,21,23,33,35,42,6,3.0,21 23 33 35 42 MB:6
06/12/2020,9,14,57,67,70,2,3.0,09 14 57 67 70 MB:2
06/09/2020,1,5,9,10,23,22,2.0,01 05 09 10 23 MB:22
06/05/2020,32,35,37,47,55,22,3.0,32 35 37 47 55 MB:22
06/02/2020,9,20,23,26,29,8,3.0,09 20 23 26 29 MB:8
05/29/2020,10,13,32,41,51,3,2.0,10 13 32 41 51 MB:3
05/26/2020,34,52,58,59,62,4,3.0,34 52 58 59 62 MB:4
05/22/2020,8,10,20,44,46,18,4.0,08 10 20 44 46 MB:18
05/19/2020,8,19,25,36,66,9,2.0,08 19 25 36 66 MB:9
05/15/2020,11,17,32,33,46,25,3.0,11 17 32 33 46 MB:25
05/12/2020,7,16,27,44,52,5,5.0,07 16 27 44 52 MB:5
05/08/2020,5,20,22,61,70,4,2.0,05 20 22 61 70 MB:4
05/05/2020,7,13,17,21,45,14,2.0,07 13 17 21 45 MB:14
05/01/2020,28,30,31,35,66,14,2.0,28 30 31 35 66 MB:14
04/28/2020,13,19,53,54,63,17,3.0,13 19 53 54 63 MB:17
04/24/2020,1,27,32,60,67,18,2.0,01 27 32 60 67 MB:18
04/21/2020,13,15,24,67,70,17,2.0,13 15 24 67 70 MB:17
04/17/2020,13,35,39,46,55,14,4.0,13 35 39 46 55 MB:14
04/14/2020,29,47,65,69,70,7,4.0,29 47 65 69 70 MB:7
04/10/2020,2,11,21,57,60,13,2.0,02 11 21 57 60 MB:13
04/07/2020,25,33,43,51,68,20,2.0,25 33 43 51 68 MB:20
04/03/2020,24,38,44,57,58,17,4.0,24 38 44 57 58 MB:17
03/31/2020,8,17,51,57,70,2,4.0,08 17 51 57 70 MB:2
03/27/2020,3,25,28,50,60,1,4.0,03 25 28 50 60 MB:1
03/24/2020,2,8,16,18,31,14,2.0,02 08 16 18 31 MB:14
03/20/2020,34,35,41,45,54,5,4.0,34 35 41 45 54 MB:5
03/17/2020,20,27,28,58,59,25,3.0,20 27 28 58 59 MB:25
03/13/2020,7,22,37,43,44,22,4.0,07 22 37 43 44 MB:22
03/10/2020,6,17,48,54,69,12,5.0,06 17 48 54 69 MB:12
03/06/2020,15,48,56,58,70,4,4.0,15 48 56 58 70 MB:4
03/03/2020,8,12,33,56,64,2,2.0,08 12 33 56 64 MB:2
02/28/2020,2,3,14,41,64,17,2.0,02 03 14 41 64 MB:17
02/25/2020,2,9,43,49,63,15,2.0,02 09 43 49 63 MB:15
02/21/2020,4,7,13,16,60,6,4.0,04 07 13 16 60 MB:6
02/18/2020,6,12,39,61,70,4,3.0,06 12 39 61 70 MB:4
02/14/2020,10,32,48,54,55,18,5.0,10 32 48 54 55 MB:18
02/11/2020,4,6,32,52,64,6,2.0,04 06 32 52 64 MB:6
02/07/2020,9,14,27,36,52,4,3.0,09 14 27 36 52 MB:4
02/04/2020,32,48,50,51,64,10,2.0,32 48 50 51 64 MB:10
01/31/2020,28,31,33,57,62,19,2.0,28 31 33 57 62 MB:19
01/28/2020,17,36,47,51,62,21,3.0,17 36 47 51 62 MB:21
01/24/2020,3,4,18,23,38,24,4.0,03 04 18 23 38 MB:24
01/21/2020,16,18,29,31,37,8,3.0,16 18 29 31 37 MB:8
01/17/2020,3,25,30,54,70,9,3.0,03 25 30 54 70 MB:9
01/14/2020,9,11,13,31,47,11,2.0,09 11 13 31 47 MB:11
01/10/2020,17,27,49,51,66,2,2.0,17 27 49 51 66 MB:2
01/07/2020,25,40,41,52,56,21,4.0,25 40 41 52 56 MB:21
01/03/2020,37,41,42,53,63,16,2.0,37 41 42 53 63 MB:16
12/31/2019,30,44,49,53,56,11,3.0,30 44 49 53 56 MB:11
12/27/2019,17,34,40,63,64,24,4.0,17 34 40 63 64 MB:24
12/24/2019,27,37,48,63,66,11,2.0,27 37 48 63 66 MB:11
12/20/2019,3,20,23,35,60,16,3.0,03 20 23 35 60 MB:16
12/17/2019,22,30,53,55,56,16,2.0,22 30 53 55 56 MB:16
12/13/2019,17,21,29,39,56,22,3.0,17 21 29 39 56 MB:22
12/10/2019,18,31,46,54,61,25,2.0,18 31 46 54 61 MB:25
12/06/2019,20,31,40,46,61,20,5.0,20 31 40 46 61 MB:20
12/03/2019,23,43,60,63,69,19,2.0,23 43 60 63 69 MB:19
11/29/2019,6,8,31,50,65,9,2.0,06 08 31 50 65 MB:9
11/26/2019,8,27,29,38,43,13,2.0,08 27 29 38 43 MB:13
11/22/2019,7,12,17,49,53,24,4.0,07 12 17 49 53 MB:24
11/19/2019,22,43,44,47,66,22,3.0,22 43 44 47 66 MB:22
11/15/2019,12,19,34,35,68,20,2.0,12 19 34 35 68 MB:20
11/12/2019,19,30,44,56,65,24,2.0,19 30 44 56 65 MB:24
11/08/2019,3,4,10,39,58,14,3.0,03 04 10 39 58 MB:14
11/05/2019,2,9,24,49,54,19,3.0,02 09 24 49 54 MB:19
11/01/2019,9,20,36,41,54,22,2.0,09 20 36 41 54 MB:22
10/29/2019,4,9,17,27,39,22,2.0,04 09 17 27 39 MB:22
10/25/2019,16,24,25,52,60,6,3.0,16 24 25 52 60 MB:6
10/22/2019,5,11,14,23,25,10,4.0,05 11 14 23 25 MB:10
10/18/2019,18,58,60,65,67,20,3.0,18 58 60 65 67 MB:20
10/15/2019,4,12,14,35,70,2,2.0,04 12 14 35 70 MB:2
10/11/2019,14,22,30,37,60,8,3.0,14 22 30 37 60 MB:8
10/08/2019,5,8,10,17,48,23,3.0,05 08 10 17 48 MB:23
10/04/2019,11,38,44,48,70,17,2.0,11 38 44 48 70 MB:17
10/01/2019,10,17,39,42,59,3,2.0,10 17 39 42 59 MB:3
09/27/2019,12,20,31,43,45,20,3.0,12 20 31 43 45 MB:20
09/24/2019,6,14,24,42,46,9,4.0,06 14 24 42 46 MB:9
09/20/2019,23,24,42,48,53,22,2.0,23 24 42 48 53 MB:22
09/17/2019,12,15,30,50,65,1,4.0,12 15 30 50 65 MB:1
09/13/2019,6,16,37,59,62,5,2.0,06 16 37 59 62 MB:5
09/10/2019,34,47,48,50,55,24,2.0,34 47 48 50 55 MB:24
09/06/2019,4,11,13,19,31,10,4.0,04 11 13 19 31 MB:10
09/03/2019,13,20,27,61,62,5,2.0,13 20 27 61 62 MB:5
08/30/2019,3,9,11,34,39,10,4.0,03 09 11 34 39 MB:10
08/27/2019,8,12,23,39,43,6,2.0,08 12 23 39 43 MB:6
08/23/2019,11,15,37,54,68,21,2.0,11 15 37 54 68 MB:21
08/20/2019,8,14,25,51,63,4,3.0,08 14 25 51 63 MB:4
08/16/2019,4,14,24,26,46,14,2.0,04 14 24 26 46 MB:14
08/13/2019,7,27,31,34,51,5,3.0,07 27 31 34 51 MB:5
08/09/2019,15,53,56,59,63,1,2.0,15 53 56 59 63 MB:1
08/06/2019,11,17,31,43,55,16,2.0,11 17 31 43 55 MB:16
08/02/2019,11,20,26,48,70,19,2.0,11 20 26 48 70 MB:19
07/30/2019,10,24,28,33,38,6,3.0,10 24 28 33 38 MB:6
07/26/2019,4,6,11,43,48,11,3.0,04 06 11 43 48 MB:11
07/23/2019,1,4,23,40,45,11,2.0,01 04 23 40 45 MB:11
07/19/2019,16,18,28,33,67,14,3.0,16 18 28 33 67 MB:14
07/16/2019,8,16,31,48,52,23,3.0,08 16 31 48 52 MB:23
07/12/2019,8,25,38,56,59,7,2.0,08 25 38 56 59 MB:7
07/09/2019,12,26,40,48,64,1,2.0,12 26 40 48 64 MB:1
07/05/2019,6,38,47,57,63,12,2.0,06 38 47 57 63 MB:12
07/02/2019,3,25,37,40,55,13,2.0,03 25 37 40 55 MB:13
06/28/2019,2,35,49,53,63,1,2.0,02 35 49 53 63 MB:1
06/25/2019,24,33,45,47,61,17,3.0,24 33 45 47 61 MB:17
06/21/2019,13,30,36,48,62,18,3.0,13 30 36 48 62 MB:18
06/18/2019,12,14,22,24,48,21,2.0,12 14 22 24 48 MB:21
06/14/2019,19,40,47,57,65,6,2.0,19 40 47 57 65 MB:6
06/11/2019,20,34,39,43,57,13,3.0,20 34 39 43 57 MB:13
06/07/2019,17,19,27,40,68,2,3.0,17 19 27 40 68 MB:2
06/04/2019,25,37,46,48,68,25,2.0,25 37 46 48 68 MB:25
05/31/2019,7,8,26,65,67,4,3.0,07 08 26 65 67 MB:4
05/28/2019,9,21,34,42,50,21,2.0,09 21 34 42 50 MB:21
05/24/2019,14,41,44,56,62,10,2.0,14 41 44 56 62 MB:10
05/21/2019,10,50,55,56,58,15,5.0,10 50 55 56 58 MB:15
05/17/2019,5,17,28,32,63,11,3.0,05 17 28 32 63 MB:11
05/14/2019,11,59,66,67,68,18,4.0,11 59 66 67 68 MB:18
05/10/2019,3,16,21,61,62,19,2.0,03 16 21 61 62 MB:19
05/07/2019,3,6,34,54,63,19,3.0,03 06 34 54 63 MB:19
05/03/2019,8,16,22,66,68,11,2.0,08 16 22 66 68 MB:11
04/30/2019,24,37,41,61,70,20,3.0,24 37 41 61 70 MB:20
04/26/2019,9,17,23,30,46,10,4.0,09 17 23 30 46 MB:10
04/23/2019,7,24,30,48,67,9,4.0,07 24 30 48 67 MB:9
04/19/2019,18,25,43,44,57,25,4.0,18 25 43 44 57 MB:25
04/16/2019,11,29,34,48,54,10,2.0,11 29 34 48 54 MB:10
04/12/2019,1,24,25,40,70,4,2.0,01 24 25 40 70 MB:4
04/09/2019,11,22,34,44,58,9,2.0,11 22 34 44 58 MB:9
04/05/2019,8,22,24,38,64,21,2.0,08 22 24 38 64 MB:21
04/02/2019,33,47,58,59,64,25,3.0,33 47 58 59 64 MB:25
03/29/2019,5,14,15,62,66,3,3.0,05 14 15 62 66 MB:3
03/26/2019,4,14,22,43,58,9,3.0,04 14 22 43 58 MB:9
03/22/2019,7,36,58,60,62,10,3.0,07 36 58 60 62 MB:10
03/19/2019,10,42,53,67,68,15,3.0,10 42 53 67 68 MB:15
03/15/2019,3,29,56,62,64,4,3.0,03 29 56 62 64 MB:4
03/12/2019,10,12,16,49,57,18,4.0,10 12 16 49 57 MB:18
03/08/2019,4,9,42,62,68,7,4.0,04 09 42 62 68 MB:7
03/05/2019,15,20,32,37,52,6,3.0,15 20 32 37 52 MB:6
03/01/2019,29,33,39,60,66,21,2.0,29 33 39 60 66 MB:21
02/26/2019,10,12,14,24,60,20,3.0,10 12 14 24 60 MB:20
02/22/2019,18,24,31,34,55,4,4.0,18 24 31 34 55 MB:4
02/19/2019,17,24,34,56,65,3,2.0,17 24 34 56 65 MB:3
02/15/2019,10,38,40,43,65,12,2.0,10 38 40 43 65 MB:12
02/12/2019,15,32,39,50,65,7,3.0,15 32 39 50 65 MB:7
02/08/2019,14,24,31,42,48,13,3.0,14 24 31 42 48 MB:13
02/05/2019,3,34,36,59,66,7,2.0,03 34 36 59 66 MB:7
02/01/2019,2,37,48,66,68,11,5.0,02 37 48 66 68 MB:11
01/29/2019,10,33,53,54,62,22,2.0,10 33 53 54 62 MB:22
01/25/2019,8,16,30,38,61,10,2.0,08 16 30 38 61 MB:10
01/22/2019,4,15,37,59,64,16,5.0,04 15 37 59 64 MB:16
01/18/2019,2,43,48,62,64,24,3.0,02 43 48 62 64 MB:24
01/15/2019,29,52,58,60,62,7,2.0,29 52 58 60 62 MB:7
01/11/2019,4,5,31,62,69,20,3.0,04 05 31 62 69 MB:20
01/08/2019,13,26,29,38,64,5,5.0,13 26 29 38 64 MB:5
01/04/2019,21,29,35,54,60,15,4.0,21 29 35 54 60 MB:15
01/01/2019,34,44,57,62,70,14,4.0,34 44 57 62 70 MB:14
12/28/2018,9,10,25,37,38,21,2.0,09 10 25 37 38 MB:21
12/25/2018,2,8,42,43,50,6,3.0,02 08 42 43 50 MB:6
12/21/2018,10,13,61,62,70,5,3.0,10 13 61 62 70 MB:5
12/18/2018,13,22,32,60,69,9,3.0,13 22 32 60 69 MB:9
12/14/2018,5,22,26,43,49,23,4.0,05 22 26 43 49 MB:23
12/11/2018,4,38,39,54,59,12,2.0,04 38 39 54 59 MB:12
12/07/2018,4,10,20,33,57,13,3.0,04 10 20 33 57 MB:13
12/04/2018,28,31,41,42,50,4,3.0,28 31 41 42 50 MB:4
11/30/2018,25,28,40,43,63,19,3.0,25 28 40 43 63 MB:19
11/27/2018,12,24,37,42,57,18,4.0,12 24 37 42 57 MB:18
11/23/2018,7,10,30,33,59,23,4.0,07 10 30 33 59 MB:23
11/20/2018,10,16,31,42,66,10,3.0,10 16 31 42 66 MB:10
11/16/2018,33,36,63,68,69,16,3.0,33 36 63 68 69 MB:16
11/13/2018,34,46,57,65,69,11,3.0,34 46 57 65 69 MB:11
11/09/2018,8,14,27,57,67,5,4.0,08 14 27 57 67 MB:5
11/06/2018,28,34,37,56,69,12,2.0,28 34 37 56 69 MB:12
11/02/2018,3,23,28,46,62,16,2.0,03 23 28 46 62 MB:16
10/30/2018,20,31,39,46,49,23,2.0,20 31 39 46 49 MB:23
10/26/2018,1,28,61,62,63,5,4.0,01 28 61 62 63 MB:5
10/23/2018,5,28,62,65,70,5,3.0,05 28 62 65 70 MB:5
10/19/2018,15,23,53,65,70,7,2.0,15 23 53 65 70 MB:7
10/16/2018,3,45,49,61,69,9,5.0,03 45 49 61 69 MB:9
10/12/2018,4,24,46,61,70,7,3.0,04 24 46 61 70 MB:7
10/09/2018,20,22,39,54,60,18,3.0,20 22 39 54 60 MB:18
10/05/2018,27,28,32,41,69,12,2.0,27 28 32 41 69 MB:12
10/02/2018,2,22,29,31,34,1,3.0,02 22 29 31 34 MB:1
09/28/2018,39,45,52,56,59,15,3.0,39 45 52 56 59 MB:15
09/25/2018,8,16,32,48,61,12,2.0,08 16 32 48 61 MB:12
09/21/2018,1,2,11,52,64,9,4.0,01 02 11 52 64 MB:9
09/18/2018,31,32,43,63,68,17,2.0,31 32 43 63 68 MB:17
09/14/2018,23,30,40,43,66,13,4.0,23 30 40 43 66 MB:13
09/11/2018,15,30,51,62,67,19,2.0,15 30 51 62 67 MB:19
09/07/2018,8,10,41,54,68,10,2.0,08 10 41 54 68 MB:10
09/04/2018,2,7,25,35,44,3,3.0,02 07 25 35 44 MB:3
08/31/2018,7,18,29,32,45,17,3.0,07 18 29 32 45 MB:17
08/28/2018,3,20,33,34,41,20,3.0,03 20 33 34 41 MB:20
08/24/2018,1,6,13,18,49,8,2.0,01 06 13 18 49 MB:8
08/21/2018,14,16,19,38,57,11,3.0,14 16 19 38 57 MB:11
08/17/2018,1,31,32,47,56,3,2.0,01 31 32 47 56 MB:3
08/14/2018,11,26,44,45,46,11,2.0,11 26 44 45 46 MB:11
08/10/2018,1,3,12,22,42,6,5.0,01 03 12 22 42 MB:6
08/07/2018,2,13,15,21,62,2,5.0,02 13 15 21 62 MB:2
08/03/2018,9,28,30,54,60,2,2.0,09 28 30 54 60 MB:2
07/31/2018,12,15,35,64,69,9,2.0,12 15 35 64 69 MB:9
07/27/2018,1,32,40,49,63,20,3.0,01 32 40 49 63 MB:20
07/24/2018,1,2,4,19,29,20,3.0,01 02 04 19 29 MB:20
07/20/2018,1,14,30,44,62,1,2.0,01 14 30 44 62 MB:1
07/17/2018,40,41,61,66,67,12,5.0,40 41 61 66 67 MB:12
07/13/2018,21,22,39,59,68,2,2.0,21 22 39 59 68 MB:2
07/10/2018,1,17,28,56,70,14,3.0,01 17 28 56 70 MB:14
07/06/2018,2,10,46,50,56,16,3.0,02 10 46 50 56 MB:16
07/03/2018,13,35,45,49,68,23,2.0,13 35 45 49 68 MB:23
06/29/2018,2,32,47,49,68,23,4.0,02 32 47 49 68 MB:23
06/26/2018,17,25,29,39,60,19,2.0,17 25 29 39 60 MB:19
06/22/2018,2,6,11,27,44,20,2.0,02 06 11 27 44 MB:20
06/19/2018,11,13,28,65,70,14,3.0,11 13 28 65 70 MB:14
06/15/2018,1,11,37,47,51,6,2.0,01 11 37 47 51 MB:6
06/12/2018,1,3,5,8,70,3,2.0,01 03 05 08 70 MB:3
06/08/2018,14,30,33,44,56,13,2.0,14 30 33 44 56 MB:13
06/05/2018,22,33,41,48,52,4,2.0,22 33 41 48 52 MB:4
06/01/2018,5,24,52,62,66,17,3.0,05 24 52 62 66 MB:17
05/29/2018,2,11,55,58,67,2,3.0,02 11 55 58 67 MB:2
05/25/2018,11,14,51,64,68,25,4.0,11 14 51 64 68 MB:25
05/22/2018,16,17,21,36,48,9,3.0,16 17 21 36 48 MB:9
05/18/2018,9,26,53,64,66,11,2.0,09 26 53 64 66 MB:11
05/15/2018,21,34,44,49,61,21,2.0,21 34 44 49 61 MB:21
05/11/2018,14,38,40,53,70,22,3.0,14 38 40 53 70 MB:22
05/08/2018,8,15,39,64,67,13,2.0,08 15 39 64 67 MB:13
05/04/2018,4,5,10,12,18,21,4.0,04 05 10 12 18 MB:21
05/01/2018,2,7,20,55,70,1,4.0,02 07 20 55 70 MB:1
04/27/2018,2,29,38,63,66,11,2.0,02 29 38 63 66 MB:11
04/24/2018,3,19,31,32,48,10,3.0,03 19 31 32 48 MB:10
04/20/2018,1,15,18,32,45,4,2.0,01 15 18 32 45 MB:4
04/17/2018,12,34,44,47,65,22,4.0,12 34 44 47 65 MB:22
04/13/2018,8,9,32,42,59,10,4.0,08 09 32 42 59 MB:10
04/10/2018,5,13,31,43,53,20,2.0,05 13 31 43 53 MB:20
04/06/2018,16,33,51,54,67,20,4.0,16 33 51 54 67 MB:20
04/03/2018,4,29,39,42,62,14,2.0,04 29 39 42 62 MB:14
03/30/2018,11,28,31,46,59,1,3.0,11 28 31 46 59 MB:1
03/27/2018,7,25,43,56,59,13,3.0,07 25 43 56 59 MB:13
03/23/2018,4,8,23,53,59,17,3.0,04 08 23 53 59 MB:17
03/20/2018,14,38,51,64,70,9,3.0,14 38 51 64 70 MB:9
03/16/2018,1,13,26,33,52,11,3.0,01 13 26 33 52 MB:11
03/13/2018,6,30,58,60,61,17,5.0,06 30 58 60 61 MB:17
03/09/2018,7,17,18,46,66,22,4.0,07 17 18 46 66 MB:22
03/06/2018,1,4,26,35,39,22,5.0,01 04 26 35 39 MB:22
03/02/2018,24,28,42,60,64,8,4.0,24 28 42 60 64 MB:8
02/27/2018,10,17,21,38,43,23,3.0,10 17 21 38 43 MB:23
02/23/2018,7,11,13,19,58,9,4.0,07 11 13 19 58 MB:9
